SUBJECT_UID	SAMPLE_NAME
PHX9Sl8wISFE8	ICSX 2010067:5
PHX9SbEJOI0pt	ICSX 2010067:6
PHX9SSBfPSSNV	ICSX 2010068:1
PHX9SwUoZZN2h	ICSX 2010068:2
PHX9S4k56GpIL	ICSX 2010068:3
PHX9SoSYdpEfn	ICSX 2010068:4
PHX9SUpPsYD3h	ICSX 2010068:5
PHX9SDAbWLULZ	ICSX 2010068:6
PHX9SxIwdv8cE	ICSX 2010069:1
PHX9SWPHRiRj1	ICSX 2010069:2
PHX9SwkDY06cZ	ICSX 2010069:3
PHX9ShzEu2rm8	ICSX 2010069:4
PHX9SX3ip4fUD	ICSX 2010069:5
PHX9S4H9KBCN4	ICSX 2010069:6
PHX9SXhcgde6a	ICSV 93046:11
PHX9SIFEtLLbP	ICSV 93046:12
PHX9STg8v35dB	ICSX 2010071:1
PHX9SZRSmI9zb	ICSX 2010071:2
PHX9S016Mgye6	ICSX 2010071:3
PHX9SQyRhpfPn	ICSX 2010071:4
PHX9SLMjU0Ufu	ICSX 2010071:5
PHX9SDY2pbC13	ICSX 2010071:6
PHX9S4jHqeqVG	ICSX 2010072:1
PHX9SnLWSnxiD	ICSX 2010072:2
PHX9SbTUF6LiC	ICSX 2010072:3
PHX9SMwVLrK2q	ICSX 2010072:4
PHX9SXqDnvXIl	ICSX 2010072:5
PHX9SFEPGxpfX	ICSX 2010072:6
PHX9SrchVSzJz	ICSX 2010073:1
PHX9SfwTYz59k	ICSV 12006:1
PHX9StZBwbh4a	ICSV 12006:2
PHX9SwYhs7IIr	ICSX 2010074:1
PHX9Sjr86fOVI	ICSX 2010074:2
PHX9SQzoXiGW5	ICSX 2010074:3
PHX9SUMsu7a1c	ICSX 2010074:4
PHX9S9KmdpoJa	ICSX 2010074:5
PHX9S8kssqE8H	ICSX 2010074:6
PHX9STWxDYmXj	ICSX 2010075:1
PHX9Sf1EEqGch	ICSX 2010075:2
PHX9SEgRDh6go	ICSX 2010075:3
PHX9SjqjjTE3j	ICSX 2010075:4
PHX9Si390bM8Q	ICSX 2010075:5
PHX9STjd5tYem	ICSX 2010075:6
PHX9S9ZW673WO	ICSX 2010076:1
PHX9S3d9IMDAN	ICSX 2010076:2
PHX9Sq6LjFxGv	ICSX 2010076:3
PHX9SIMV3W8F7	ICSX 2010076:4
PHX9SbdHZV3aH	ICSX 2010076:5
PHX9SZt52HVwk	ICSX 2010076:6
PHX9SbWhWCKSY	ICSX 2010077:1
PHX9Sn5MNjKBS	ICSX 2010077:2
PHX9STq3zZokC	ICSX 2010077:3
PHX9SZOtWIRyq	ICSX 2010077:4
PHX9Sng81msOA	ICSX 2010077:5
PHX9SIVBag8zk	ICSX 2010077:6
PHX9SGTsmAOuT	ICSX 2010078:1
PHX9SaIMmxFp0	ICSX 2010078:2
PHX9SK3S1XCXw	ICSX 2010078:3
PHX9SoYolYeYA	ICSX 2010078:4
PHX9SqYYSrS3n	ICSX 2010078:5
PHX9S0BaDBzCC	ICSX 2010078:6
PHX9Sqdy85ipN	IS 20956:9
PHX9Sbk9bWXhn	IS 20956:10
PHX9SPDhJeOCW	ICSX 2010079:1
PHX9SUOYAC04V	ICSX 2010079:2
PHX9S7Y31Q51J	ICSX 2010079:3
PHX9SPoj5XoUF	ICSX 2010079:4
PHX9SCpcuChcM	ICSX 2010079:5
PHX9SX0URasJR	ICSX 2010079:6
PHX9SLk4OF8Y9	ICSX 2010080:1
PHX9Ssg345nX0	ICSX 2010080:2
PHX9STxUHZyFP	ICSX 2010080:3
PHX9Sa9bDpwtk	ICSX 2010080:4
PHX9Svc72Cl6I	ICSX 2010080:5
PHX9SOUKL1hut	ICSX 2010080:6
PHX9SH89qQLGq	ICSX 2010081:1
PHX9Sib2qXYXv	ICSX 2010081:2
PHX9St0ApfYZM	ICSX 2010081:3
PHX9SPdDahiee	ICSX 2010081:4
PHX9Sxkhfa8EL	ICSX 2010081:5
PHX9SLMUYj1WO	ICSX 2010081:6
PHX9SvheS9Dkf	ICSX 2010082:1
PHX9SgZLE7Edq	ICSX 2010082:2
PHX9SGKEDwCKT	ICSX 2010082:3
PHX9SMXFNGciD	ICSX 2010082:4
PHX9SX65OB8Hp	ICSX 2010082:5
PHX9SkJ1SLODW	ICSX 2010082:6
PHX9SId8nyusg	ICSX 2010083:1
PHX9SJkGRtBXr	ICSX 2010083:2
PHX9SnZwk02kN	ICSX 2010083:3
PHX9SYElFHzda	ICSX 2010083:4
PHX9SFDx0vmZk	ICSX 2010083:5
PHX9SSbo4cYzC	ICSX 2010083:6
PHX9SovX0ibjx	IS 26012:8
PHX9S8k4FqmLD	IS 26012:9
PHX9SqvBd8dev	ICSX 2010084:1
PHX9SbbJpk7cL	ICSX 2010084:2
PHX9SvWzYqnuy	ICSX 2010084:3
PHX9SCGcVcYWM	ICSX 2010084:4
PHX9SwJAyLj0P	ICSX 2010084:5
PHX9Si9akc6aB	ICSX 2010084:6
PHX9SItN9JA60	ICSX 2010085:1
PHX9SjpPB05nH	ICSX 2010085:2
PHX9SbFSzQA67	ICSX 2010085:3
PHX9S3C0aNQIf	ICSX 2010085:4
PHX9SV7c39tM1	ICSX 2010085:5
PHX9Sx5uy1clb	ICSX 2010085:6
PHX9S0tPLcCKz	ICSX 2010086:1
PHX9Syg05a7qQ	ICSX 2010086:2
PHX9SK2qtKwqs	ICSX 2010086:3
PHX9SfpAZCXBI	ICSX 2010086:4
PHX9SxDaHlt16	ICSX 2010086:5
PHX9SkQ5G9nxi	ICSX 2010086:6
PHX9SOVFjJ2ZJ	ICSX 2010087:1
PHX9SY48OgOzH	ICSX 2010087:2
PHX9SOulapdD5	ICSX 2010087:3
PHX9SDlbQmt9h	ICSX 2010087:4
PHX9SxpZuJMrf	ICSX 2010087:5
PHX9SmWXJPvVZ	ICSX 2010087:6
PHX9SvnXNGyLM	ICSX 2010088:1
PHX9SadlubKE9	ICSX 2010088:2
PHX9SWvQUpmBi	ICSX 2010088:3
PHX9Sl9WUMuxs	ICSX 2010088:4
PHX9SK5vx62ij	ICSX 2010088:5
PHX9ShvBVecd1	ICSX 2010088:6
PHX9SPen5ySVc	IS 26694:8
PHX9S8fdEQz06	IS 26694:9
PHX9SJqthJElh	ICSX 2010089:1
PHX9SYSAbaN4M	ICSX 2010089:2
PHX9Smo3eIZvf	ICSX 2010089:3
PHX9S9a4Z7UGl	ICSX 2010089:4
PHX9SK5EQz8Ht	ICSX 2010089:5
PHX9SoOhZcvzI	ICSX 2010089:6
PHX9SR8xCiqmT	ICSX 2010090:1
PHX9S1A02P2vZ	ICSX 2010090:2
PHX9SVL0YtEQH	ICSX 2010090:3
PHX9S5IeO6TRx	ICSX 2010090:4
PHX9SobAMgRG1	ICSX 2010090:5
PHX9SfdfiuFLO	ICSX 2010090:6
PHX9SU200UMtB	ICSX 2010091:1
PHX9S0GxarInN	ICSX 2010091:2
PHX9SQ5jEPkCy	ICSX 2010091:3
PHX9SmG8hGEol	ICSX 2010091:4
PHX9SAmkjJaFC	ICSX 2010091:5
PHX9S9942kVPU	ICSX 2010091:6
PHX9SEgCL0vgJ	ICSX 2010092:1
PHX9SSnoLiRXg	ICSX 2010092:2
PHX9S7nZbBEcm	ICSX 2010092:3
PHX9SNsQU6CRz	ICSX 2010092:4
PHX9SBfV8V04X	ICSX 2010092:5
PHX9SSoSgE5i0	ICSX 2010092:6
PHX9SovvLbZwU	ICSX 2010093:1
PHX9S6mzgLGdT	ICSX 2010093:2
PHX9SgS305Y2F	ICSX 2010093:3
PHX9Sk5EGWoYE	ICSX 2010093:4
PHX9ShyAVi6jh	ICSX 2010093:5
PHX9ShDvcg7an	ICSX 2010093:6
PHX9SWqGAumVB	IS 34638:1
PHX9SBysWuM0u	IS 34638:2
PHX9SSG27psdS	ICSX 2010094:1
PHX9SjlQdUSbE	ICSX 2010094:2
PHX9SsExn9GSW	ICSX 2010094:3
PHX9Sv3dS8Ecg	ICSX 2010094:4
PHX9SIaNmhj7D	ICSX 2010094:5
PHX9SLUq63r0b	ICSX 2010095:1
PHX9S1eXA5qH9	ICSX 2010095:2
PHX9S2eGMkCD9	ICSX 2010095:3
PHX9S97U325GH	ICSX 2010096:1
PHX9SPjBx26il	ICSX 2010096:2
PHX9SQuyuyhG9	ICSX 2010096:3
PHX9S8OUITUD1	ICSX 2010097:1
PHX9SzFasikn7	ICSX 2010097:2
PHX9Sn29KyTk9	ICSX 2010097:3
PHX9SIx18xvUM	ICSX 2010097:4
PHX9StV4yZ1wi	ICSX 2010097:5
PHX9SZLS4tLXb	ICSX 2010097:6
PHX9Sz6GJEgf5	ICSX 2010098:1
PHX9S7ZmG2lbI	ICSX 2010098:2
PHX9SuLCLoC23	ICSX 2010098:3
PHX9SkdpJz4KF	ICSX 2010098:4
PHX9SN1XfGkVr	ICSX 2010098:5
PHX9SQSdN6BMC	ICSX 2010098:6
PHX9STDaXYkua	Pant Chari-6:9
PHX9S8f0QCwvY	Pant Chari-6:10
PHX9SDz0GTuMb	ICSX 2010099:1
PHX9S8m81IOS4	ICSX 2010099:2
PHX9SYC4CzVTZ	ICSX 2010099:3
PHX9ScARYZfIn	ICSX 2010099:4
PHX9Sb9Iic9UM	ICSX 2010100:1
PHX9ScRnaQbCj	ICSX 2010100:2
PHX9SG9Y8hZDG	ICSX 2010100:3
PHX9Sr5rgRSIj	ICSX 2010100:4
PHX9SLCHdizKY	ICSX 2010100:5
PHX9SRFNTzHw9	ICSX 2010100:6
PHX9Sbr1ZZHmr	ICSX 2010101:1
PHX9SjQuJxDPU	ICSX 2010101:2
PHX9SYPV37VX0	ICSX 2010102:1
PHX9SYfGhyEJF	ICSX 2010102:2
PHX9S8U2TLnNP	ICSX 2010102:3
PHX9SNWMSvLZV	ICSX 2010102:4
PHX9SJWThtvvb	ICSX 2010102:5
PHX9Sj8sjgqm2	ICSX 2010102:6
PHX9SYEt4VYBI	ICSX 2010103:1
PHX9SnZVak1Vw	ICSX 2010103:2
PHX9Se2e4gEO1	ICSX 2010103:3
PHX9SAWN11LcT	ICSX 2010103:4
PHX9SuxhJuLg9	ICSX 2010103:5
PHX9SDyzsIc5F	ICSX 2010103:6
PHX9SnqLkTvc6	SSG 59-3:10
PHX9SnSloOTbu	SSG 59-3:11
PHX9Sh1ndFOmn	ICSX 2010104:1
PHX9Sh7A6G19J	ICSX 2010104:2
PHX9SsBZMdLea	ICSX 2010104:3
PHX9SZhZxZ33n	ICSX 2010104:4
PHX9Sxebcr8nv	ICSX 2010104:5
PHX9Sq1JLX1II	ICSX 2010104:6
PHX9SzvMq4nV5	ICSX 2010105:1
PHX9SENIlTMlt	ICSX 2010105:2
PHX9StMWeobWR	ICSX 2010105:3
PHX9SBz9Bjlsm	ICSX 2010105:4
PHX9SydLorZQK	ICSX 2010105:5
PHX9SIje474Zt	ICSX 2010105:6
PHX9SILyZHucD	ICSX 2010106:1
PHX9SdCNGGb48	ICSX 2010106:2
PHX9SAo8xveJj	ICSX 2010106:3
PHX9SGFAXO1AY	ICSX 2010106:4
PHX9S1c9jMkbo	ICSX 2010106:5
PHX9SEpAUS1EX	ICSX 2010106:6
PHX9S3SIisbdz	ICSX 2010107:1
PHX9SwLGenTFL	ICSX 2010107:2
PHX9So9kAGR1n	ICSX 2010107:3
PHX9S9ldwKy2O	ICSX 2010107:4
PHX9SjBrwQLc1	ICSX 2010107:5
PHX9SaToG2EV9	ICSX 2010107:6
PHX9Ss4PHSqoY	ICSX 2010108:1
PHX9S0kSgkAws	ICSX 2010108:2
PHX9SXwuIDXDZ	ICSX 2010108:3
PHX9Spjwvnsfp	ICSX 2010108:4
PHX9SvElCvnwK	ICSX 2010108:5
PHX9SePpgTSYJ	ICSX 2010108:6
PHX9SgP88J604	SSV 74:9
PHX9SWaDQ5eur	SSV 74:10
PHX9SS6cOY4vo	ICSX 2010109:1
PHX9StsX3BRAM	ICSX 2010109:2
PHX9SzJRWBjHU	ICSX 2010109:3
PHX9SvP9SGvLz	ICSX 2010109:4
PHX9SNugWQXaR	ICSX 2010109:5
PHX9SwDqlMnFo	ICSX 2010109:6
PHX9S2IjBfw5J	ICSX 2010110:1
PHX9S9FOQhmSa	ICSX 2010110:2
PHX9ShzF27nQO	ICSX 2010110:3
PHX9SZvHuvgmZ	ICSX 2010110:4
PHX9SMVmdsrCc	ICSX 2010110:5
PHX9SYI0yoOXl	ICSX 2010110:6
PHX9St8PuqRVw	ICSX 2010111:1
PHX9SVvArtuet	ICSX 2010111:2
PHX9SmAjoBgcq	ICSX 2010111:3
PHX9SWygtt1Y7	ICSX 2010111:4
PHX9SYwu6fHjz	ICSX 2010111:5
PHX9STHZbEHwf	ICSX 2010111:6
PHX9SoOxvSZ1w	ICSX 2010112:1
PHX9Syq6XWJUy	ICSX 2010112:2
PHX9STcf2gR5c	ICSX 2010112:3
PHX9S5nVOGQgU	ICSX 2010112:4
PHX9S20JGS4Do	ICSX 2010112:5
PHX9SFWeRXrKk	ICSX 2010112:6
PHX9SNmRNQPNx	ICSX 2010113:1
PHX9Sqt9cRWAB	ICSX 2010113:2
PHX9Sucyoglms	ICSX 2010113:3
PHX9SIAAKDsH4	ICSX 2010113:4
PHX9StKAZ0ulz	ICSX 2010113:5
PHX9S1b7AcEIu	ICSX 2010113:6
PHX9SrhemYruw	N 600:1
PHX9SlFF4nEdx	N 600:2
PHX9SQ0U9UVKM	ICSB 100130:1
PHX9ShJHfOffg	ICSB 100130:2
PHX9SSHwEyPmC	N 596:1
PHX9SB0m6kig7	N 596:2
PHX9SZlGza9CY	N 598:1
PHX9SVjIBCJqG	N 598:2
PHX9SrMxXhu1f	BN 612:1
PHX9SjIP4UpdV	BN 612:2
PHX9SSVL2M70d	ICSX 2010045:7
PHX9SAHzjKJAE	ICSX 2010045:8
PHX9S4BIM1vuB	ICSX 2010046:7
PHX9SmjZ9jqnz	ICSX 2010047:7
PHX9SqFrlJymo	ICSX 2010047:8
PHX9SOq19Hm6l	ICSX 2010048:7
PHX9SdiX5LhgZ	ICSX 2010051:7
PHX9SIo2d8HxA	ICSX 2010051:8
PHX9ScW9pgNYe	ICSX 2010053:7
PHX9SaXigb0Jn	ICSX 2010055:7
PHX9SmO5q3iLh	ICSX 2010055:8
PHX9SSrTHcLS5	ICSX 2010056:7
PHX9SviYAN7Ep	ICSX 2010057:7
PHX9SixrEGbq0	ICSX 2010057:8
PHX9S3TSHkcFs	ICSX 2010058:7
PHX9SWUQPQw1c	ICSX 2010059:7
PHX9SzbnU6mR1	ICSX 2010060:7
PHX9SmAb7XPCo	ICSX 2010061:7
PHX9SS0YS24Ow	ICSX 2010062:7
PHX9SorSLvLao	ICSX 2010064:7
PHX9SAZvRxF6c	ICSX 2010065:7
PHX9S1X3SpxsV	ICSX 2010065:8
PHX9S9FkTEzrJ	ICSX 2010066:7
PHX9SDneBOjPX	ICSX 2010067:7
PHX9S173ueDvQ	ICSX 2010068:7
PHX9S21pDRmqU	ICSX 2010069:7
PHX9S4dEiKGoE	ICSX 2010071:7
PHX9S7kdxoTnt	ICSX 2010071:8
PHX9S5yVvARTp	ICSX 2010072:7
PHX9SrpOfZJfX	ICSX 2010074:7
PHX9SXOY7CSVn	ICSX 2010075:7
PHX9SkvcmLl4c	ICSX 2010076:7
PHX9SzsUv6GqH	ICSX 2010077:7
PHX9Ss4b4Is4L	ICSX 2010078:7
PHX9S1EiWxfAK	ICSX 2010079:7
PHX9SVXZeoRVV	ICSX 2010079:8
PHX9SxdQQXJ4k	ICSX 2010080:7
PHX9SAOSM6r0l	ICSX 2010081:7
PHX9Sa2vRXCf9	ICSX 2010082:7
PHX9SG1IxBGCX	ICSX 2010083:7
PHX9SvTJtCnBU	ICSX 2010084:7
PHX9SFPkbtsJq	ICSX 2010086:7
PHX9SXANCuUnZ	ICSX 2010086:8
PHX9S0j1ii5Ol	ICSX 2010087:7
PHX9SGu8uctca	ICSX 2010089:7
PHX9SeA9MJJ4k	ICSX 2010089:8
PHX9SBLmf9njq	ICSX 2010090:7
PHX9SeaXg8vZw	ICSX 2010091:7
PHX9SPmmqQeLL	ICSX 2010091:8
PHX9SWcHat69P	ICSX 2010092:7
PHX9Sl7ktVswX	ICSX 2010093:7
PHX9ScWqHCFSf	ICSX 2010097:7
PHX9SpduElRO6	ICSX 2010098:7
PHX9SCKhcTH8V	ICSX 2010100:7
PHX9SOMtKLDxa	ICSX 2010100:8
PHX9SUZ7LhIk3	296 B:12
PHX9SaFQP3l9m	296 B:13
PHX9SfN8RQEpI	ICSX 2010002:1
PHX9Sr4wXBdEh	ICSX 2010002:2
PHX9SCLH5sMLp	ICSX 2010002:3
PHX9SlPXUZu2I	ICSX 2010002:4
PHX9SKSFI8gZ2	ICSX 2010004:1
PHX9SYLPbJgMa	ICSX 2010004:2
PHX9SrEEYgNzN	ICSX 2010004:3
PHX9S5ZruWhkd	ICSX 2010004:4
PHX9SVGJ9xA4d	ICSX 2010014:13
PHX9SqqTnpNOL	ICSX 2010014:14
PHX9SrOeuNkee	ICSX 2010014:15
PHX9SUwgkaAnI	ICSX 2010032:12
PHX9SEHr1DYmp	ICSX 2010032:13
PHX9SvizBImAx	ICSX 2010032:14
PHX9SiIjlbv6b	ICSX 2010032:15
PHX9SvK9q9gOk	ICSX 2010032:16
PHX9SsiklgLq1	ICSB 52:11
PHX9SygLR7LF4	ICSB 52:12
PHX9SYxdgvBZI	ICSX 2010006:1
PHX9S8uhuNIHD	ICSX 2010006:2
PHX9S1Egj2Hmw	ICSX 2010006:3
PHX9SAQxznSYZ	ICSX 2010006:4
PHX9SdZSdShMM	ICSX 2010006:5
PHX9SwgWpVBKa	ICSX 2010006:6
PHX9SyyHfG4tq	ICSX 2010006:7
PHX9S7EZhCbtS	ICSX 2010006:8
PHX9SJOxkqXpf	ICSX 2010006:9
PHX9SmAZF0PhX	ICSX 2010006:10
PHX9SLqTLtppt	ICSX 2010006:11
PHX9S0MY5nty6	ICSX 2010006:12
PHX9SctzQJ7kk	ICSX 2010008:1
PHX9SqIRxkUhS	ICSX 2010008:2
PHX9Stk6macuN	ICSX 2010008:3
PHX9Spqs7nC1T	ICSX 2010008:4
PHX9SuoDNimKu	ICSX 2010008:5
PHX9S8ygIfkCi	ICSX 2010008:6
PHX9Su3t5XSEa	ICSX 2010008:7
PHX9Sa2zMatg5	ICSX 2010008:8
PHX9SwkRwYT1J	ICSX 2010008:9
PHX9SSuZ8kLxF	ICSX 2010008:10
PHX9SZHvIXTFO	ICSX 2010008:11
PHX9SPpGEBLWW	ICSX 2010008:12
PHX9S9S6w98Qi	ICSB 101:11
PHX9SO6013fQT	ICSB 101:12
